semestre,area,creditos,nombre original,nombre
optativa,Humanidades,4,Filosofía de la Tecnología,filosofia de la tecnologia
optativa,Humanidades,4,Filosofía de la Ciencia,filosofia de la ciencia
optativa,Humanidades,4,Las Relaciones Interpersonales en el Ambiente Hospitalario,las relaciones interpersonales en el ambiente hospitalario
optativa,Humanidades,4,México Nación Multicultural,mexico nacion multicultural
optativa,Humanidades,4,Bioética,bioetica
optativa,Ciencias Médicas y de la Salud,6,Radiobiología,radiobiologia
optativa,Ciencias Médicas y de la Salud,6,Física de la Resonancia Magnética,fisica de la resonancia magnetica
optativa,Ciencias Médicas y de la Salud,9,Física del Ultrasonido Médico,fisica del ultrasonido medico
optativa,Ciencias Médicas y de la Salud,9,Reconstrucción de Imágenes Biomédicas,reconstruccion de imagenes biomedicas
optativa,Ciencias Médicas y de la Salud,9,Biosensores,biosensores
optativa,Ciencias Médicas y de la Salud,6,Física de la Radioterapia,fisica de la radioterapia
optativa,Ciencias Médicas y de la Salud,6,Física de la Medicina Nuclear,fisica de la medicina nuclear
optativa,Ciencias Médicas y de la Salud,9,Física del Radiodiagnóstico,fisica del radiodiagnostico
optativa,Ciencias Médicas y de la Salud,6,Garantía de Calidad de Equipos de Rayos X,garantia de calidad de equipos de rayos x
optativa,Ciencias Médicas y de la Salud,6,Temas Selectos en Instrumentación Biomédica,temas selectos en instrumentacion biomedica
optativa,Ciencias Médicas y de la Salud,6,Temas Selectos en Física de la Terapia Médica,temas selectos en fisica de la terapia medica
optativa,Ciencias Médicas y de la Salud,6,Temas Selectos en Física del Diagnóstico Médico,temas selectos en fisica del diagnostico medico
optativa,Ciencias Biológicas,9,Dinámica de Biofluidos,dinamica de biofluidos
optativa,Ciencias Biológicas,9,Biomateriales,biomateriales
optativa,Ciencias Biológicas,9,Biofotónica,biofotonica
optativa,Ciencias Biológicas,6,Electrofisiología,electrofisiologia
optativa,Ciencias Biológicas,9,Ecuaciones Diferenciales Parciales,ecuaciones diferenciales parciales
optativa,Ciencias Biológicas,4,Aplicaciones de la Histología en la Neuropatología,aplicaciones de la histologia en la neuropatologia
optativa,Ciencias Biológicas,4,Teoría Celular,teoria celular
optativa,Ciencias Biológicas,4,Introducción a la Antropología Física y Forense,introduccion a la antropologia fisica y forense
optativa,Ciencias Biológicas,4,Epigenética,epigenetica
optativa,Ciencias Biológicas,4,Genómica Viral,genomica viral
optativa,Ciencias Biológicas,4,Fisiopatología de la Hiperexcitabilidad Neuronal,fisiopatologia de la hiperexcitabilidad neuronal
optativa,Ciencias Biológicas,6,Temas Selectos en Física Biológica,temas selectos en fisica biologica
optativa,Ciencias Biológicas,6,Temas Selectos en Biofísica,temas selectos en biofisica
optativa,Ciencias Biológicas,6,Temas Selectos en Cómputo de Alto Desempeño,temas selectos en computo de alto desempeño
optativa,Ciencias Biológicas,6,Temas Selectos en Biomatemáticas,temas selectos en biomatematicas
optativa,Ciencias Biológicas,6,Termodinámica y Sistemas Biológicos,termodinamica y sistemas biologicos
