Marca temporal,Carrera,Semestre que cursas actualmente,¿Cuál es la razón por la que te interesaría cursar alguna materia en el periodo intersemestral 2025-4?,¿Has cursado anteriormente un curso intersemestral?,Curso intersemestral que más te interesa cursar (OPCIÓN 1),"Segunda opción de curso intersemestral, si aplica (OPCIÓN 2)","Tercera opción de curso intersemestral, si aplica (OPCIÓN 3)",¿Qué dificultades has enfrentado (o crees que podrías enfrentar) al cursar una materia en intersemestral?,"Desde tu experiencia (o expectativas), ¿cómo valorarías la calidad académica de los cursos intersemestrales en comparación con los cursos regulares?",Justifica tu respuesta anterior,¿Qué condiciones crees que deberían garantizarse para que un curso intersemestral sea exitoso y justo para los estudiantes?,¿Te gustaría que se volviesen a impartir cursos intersemestrales de optativas del plan de estudios de Física y Física Biomédica?,"¿Consideras que debería cambiarse algo en la forma en que se organizan, asignan o anuncian los cursos intersemestrales? ¿Qué propondrías?",Algún comentario adicional sobre los intersemestrales,Token 
17/5/2025 12:19:51,Física Biomédica,3ro,Porque perdí el seguimiento de la materia porque tuve que buscar empleo y el horario laboral a veces no me permitió quedarme a clases,Sí,Mecánica Vectorial ,Fenómenos colectivos ,Bioquímica ,El tiempo de traslado a la facultad ,5,Hay profesores que ya tienen bien planeado su curso intersemestral lo que favorece a llevarlo a cabo en tiempo y forma,Podría servir la apertura de intersemestrales en línea para quienes por alguna razón no puedan asistir presencialmente a la facultad ,"Sí, me gustaría y los tomaría","Para el caso de fisica biomedica considero que la asignación es justa, a mi parecer para mejorar los cursos se podrían ampliar los cupos.",Que nos ayudan mucho a alumnos que por cuestiones de contexto socioeconómico nos atrasamos con las materias podemos ponernos al corriente con nuestros semestres.,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""a4663f271dfab9d5a6a2ea4e28114607a4de911a3c68e30e1b19c02c48a1e815""}
-----BEGIN SIGNATURE-----
m27BBQe5KcOI6yurvBubTS32Dla+jvrXv0AKUQ6o/j1kA29irBcVaPYHjKse+j5ANVGuxbreRctgs5Yl8jzcQgHqlsY4HONyCH9BemGOlf1EoyablzCp4cR8CEswukOji4HgrQF9/aHeEgr6giZMkhE0xuVGXOhbWJ+CuzYxEfa1rakdxC3Hv9i/o7zGV+kcsSHnUYWE36ms3mfwgNzlw9J4LI93PzxwG/DLJAM/XYNxM+7yFFkbYMoteJa/jyd3gVtKhw0MrDiLZehUrbqmMz/fE2BTnrUb8BZlFIwufLkf1Ob8PiWulZoPH4PXDfVh2m4ESGqMEFAVboXMF6yYNYygdqOjRnkNGNgl5/y4nUTCLXVaTbL+aE41PHhlJB2JDanPYJ86SWVIbSQgS9VsWo1mduTprrzGk0VOADeZQ0w29/VBFuF6eJ7beGPa/CLQ0AflHRK0KGdfxsbtt6TrYFUXAM8m+krIUjhCz8U/8i/rrTxBlqyS4nLivEDoP+TyYkqMD8kGHBr+FPesUSoxoc66WJT5p/TG1Hklm5VYCqMFe5q9vBfXrAQSpt0k3Ons9WhTx+lEdjzHtMkDnALYBE4SsD8+t51GkvNcyT7utCVyEon4/GpoWQPfgqm/JhWYXO+PzcsWT8ciXAJgt8i9e8nvM/CBtzXGBeFe5BGz6Xk=
-----END SIGNATURE-----
###
"
17/5/2025 12:20:38,Física,Octavo,"Por qué de no hacerlo, estaría retrasando otro año más mi titulación y otros procesos para salir de mi carrera, costando más dinero a mi y a la universidad. Además de que casi no dan cupos de esos grupos.",Sí,Laboratorio de Física Contemporánea 1,Física Nuclear y subnuclear,Laboratorio de Física Contemporánea 2,Falta de alimentos o dinero para transporte,4,"Claramente no es lo mismo que en un curso normal, pero se aprende lo necesario para entender la materia misma y otras","Ventilación, minutos de descanso y comida. Recursos didácticos.","Sí, me gustaría y los tomaría",El suficiente acceso para los que ya tienen los suficientes créditos para cursarse. El semestre pasado no me dieron grupo por qué no había cupo y era el semestre para poder cursarlo.,.,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""66c82ceef779293d050eb623980f4d73d47993343f7883ea0b4f7d3d10257411""}
-----BEGIN SIGNATURE-----
Uf4aV7bGjeU+2m3d/zop7Uq6kgQ5GeOYG9X/n5TfXcwdSI9g2GQxB+3L24PWJfnGmrgbeWfgfNv7Fx7Zs8KAlScYo0xQXMT85bQc3A2Ws+7rAusIiq9LtiDGxZSIQ3s652TFSnfAtf8zPITOUuvAiWY3y6xwtv5pc5JJgAeY6Ey88MkzBIe9BRgKHkrhQGyWbdEPz6UhNOirvLRkHVLOMBPjz3CL4A76VCkbl0qHS+0G4eFUqrkDMGtkInGYHij2Kad7/SP0SP937xW3ymSFCzQf8P/XcJ2nR8++7sT+xwqVWCcgF0Kn0Hqqlkvxa6mAUIa/8KxLVpHlVIbmtMNOw1RhiTTQhDx3iTgM8sAz95atckJb5ExmrVJG2ejGsJCzvK8xbnTvBOoOm1UJnsJsBZkY8RB471jWc8jhenLZJQdivxHKI8KbcOQuRAStzZLzzlcUNrRhQOA3nq4jy1Jc7Gblm81BKqxEAHa8T2qbDiwbSYaimQpSlfvfSkFZ3B+vs6gp194zYoBI1kE/8PbZHUdPHuJfeB8MTPe7aEfNwYqSAgVXgWK5oXIJyx/E30UieQYlGwfr6IDKbJt+xqz+q03cdHuxePy6CfljoaGHq+vh3c1L/RfKFjnqFi8A1LiuWVVubucyM3N7RsFodRo1eguIWC9mRVuHzJIUeVwaaaY=
-----END SIGNATURE-----
###
"
17/5/2025 12:20:50,Física,6,voy atrasado,Sí,óptica ,electromagnetismo ,laboratorio de electromagnetismo ,"el dinero, ya que no hay mucho margen para un trabajo de medio tiempo y más por el traslado",4,Aún con el tiempo reducido se alcanzan a cubrir más temas que en regular ,disponibilidad de parte de maestros y alumnos ,"Sí, me gustaría y los tomaría",tal vez que abran cursos en línea de las materias teóricas,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""55837c44817000af3b95f4c2283af5a6a370e20a7863a553200194a05ae31544""}
-----BEGIN SIGNATURE-----
Ze4ZsrQ/3QUWZYv8uarPXQTfBQ2F7tozmD7She6CMFW5FeKr8MnrHX4YO7p0wKqVmf3UZpQQCvDHpRUUuUoy9uKZfa0Fxs7OvsT98KHUsvzBNKNzschxLvBdivcQG2YapoJW4L92KQ4WW/hgIIHedLbIQCVgLAGKRxWjSGPAXZBaDkO+MOHpFO9493MP5ErzRrL/9WDhitT+Sp6ixBa1bFSozVwAC/xcNgClvXJWzQ30/Drpf97ZO19gwlgIyEbrk8xesr4d37ZDYadJsoFniDib7dJ8BCsArvtixbr+nlkv1Ra4M/sSHbFrQPemP93IZdlj8T2RPC4HoakUgj4b2CMWVJx96hy/RvMfmGPFj5GTInFN7x5s83WgiE2e7bwytmZdnaf/I6JXfykpaVZ9BVCv1z2qnCbZrRXL7kbssIjGNIksR++NmrqNUeuFiCZCBhkdQS8nQdKv4TjVgXVID6dquPoO6+b3J2XvsNW1R/8UwQ4f/lge8rlTCvQz7M+AwExRuiMYrjNoLob2tVQU0RkHuL36Ye5gEHE+Q1HtezsLg/isn3IzY4zhrxUe85c0mZO8jGJdurVPQ+f0hhkLJNQBiZqUUIn0XJbeBzshgZ3IN4C9vlFyVJeisCkb8A9HB6zWo4QMQ9BYAxENfwCrwnhaFqCQfJpdcJvvrcwVUHU=
-----END SIGNATURE-----
###
"
17/5/2025 12:20:51,Física,Cuarto,Dado la reciente problemática causada por el paro en donde profesores de la facultad rechazan la evaluación del semestre.,No,Fenómenos colectivos,,,El tiempo para cursarlo y la modalidad ,3,"Me han mencionado que por el tiempo, es muy pesado.","Diferentes modalidades del curso (en línea, presencial, híbrido), profesores competentes y con buena actitud.","Sí, me gustaría y los tomaría","Abrir más cursos intersemestrales y anunciarlos por páginas de redes sociales, por correo electrónico.",,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""6cbad4c7ad337e3acbd5cbad256b2bfa51f1ad47580579dc425abfd513d08045""}
-----BEGIN SIGNATURE-----
k8Y+uxQAc1VxgTK2IaXp9lKO9qHrGK7tO1pW43TrLGEyT6Xte7KBCj0pWp/yEqg899qkwS3RX6TM494mL0SiIheLqLnLkaL3sUcmpw1kftYP9OPNcVvkynYZmJSM1hkr2j/R6pgdg4xLHZXDW0UZQeMh067TbDDLvRLQ1SRhxuy5fj1WiYToclnR+wBpJqQ+ZmW0a0lgy2KvpujAbUBL+h3VgNZKlxdoQ6KcvZe36sElf1VYmG1RnfEGlZ1Jr2+W/aa3Jmegyp1iL+e8ukjPgK2VQdt53AU02JvFLKxFkRnnC2jtFGe63Gu6wcrir1RuLadzOSddK+w7SScgnRbJLb6jz07UyYI/Vvvz51j2xiiQB4fdryepE3JnRqZQriMJ9DLsntL6wTjo5cXYdX65u/vt1q0BpPiJA/OBfJDworxg2HrXbJBiyXYzFpqZ2NwPqnwDbawZ7cOmIhDinDG0gMJZqTfFETA7WcRlqZOXzW2XhvVu/fxbsH7ug6ExkEthKEiXVnnhky6JYKX2y4V7APehbfHJgXCPO0jnD2ipIlASt7ejR2OQDURCwzHMWksCUjfzOahY9wNhflrkKsAGuNLL+ra4A5PQ4wVdjaQrSQB+e2v1WuHq9ie3Qz+0Os/Noq7oIZYABlDBlurD4gL3XZp8n7u3bv80sKL9Uh6XYz0=
-----END SIGNATURE-----
###
"
17/5/2025 12:21:57,Física,Sexto ,Regularidad en el plan de estudios ,No,Mecánica Analítica ,Laboratorio de Electronica ,,La carga de trabajo ,3,"Por el plazo del curso considero que el ritmo será mayor para avanzar en los temas, lo que podría dificultar el aprendizaje ","Para que sea exitoso el compromiso de profesor y alumnos, para que sea justo una asignación por grado de prioridad en los alumnos ","Sí me gustaría, pero no los tomaría","Que se asignen por grado de prioridad dependiendo de las necesidades de cada uno, que el que esté en semestres más avanzados de le asigne primero ",Que haya suficientes grupos y materias con profesores dispuestos a impartir un buen curso ,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""5e893d808132b018b0316d63141cccb186ae897dec98ac4f563adfc7b73249c7""}
-----BEGIN SIGNATURE-----
F04SbFSpFnHfZa94DWD0Suz6h3JSkMlr5rwX2rDnwZX3uCA3+zuT6FaBx8FJHhPY5PjBSP9RAGDrFqh19daw/sypmXgsxkECv4w7ru+c0IIe51+7pIfspITnhWSFZq7PtWdHS/XDXBYK8dZv2ucWDQ25AsOlZtrHjMcP9yS1Rxc7TjBD4+ASQmSaa6recLCf69v7X6z4Y0DKVl2tVekpnZ+kdvzuFjZkaQ9gRSqbXGizJrSsbMgpKqdEPHP7ytITbEIl91+9i5IgO2CvBE6ek77OoU89uUv5GTwG87mwDAJxcW/bjU1urNjOrtyysC7RtMnvjSS96hS3jofBVyMBlrf8u1LsyiIWjl/b5w7z5eBEMhWSlHnUzXFPZQSxYnUtha4sYz+irbc7Gehv7777bc6/FaON/BoyTWGksCJLDRbw1lBEsaDXV0hFlTm5toNkAyp1Ge8S5OznBdHPXUhlrswrPNZQirAHu2NxRE5HvsOG5hd+c7iejp0WFWcjlWXyzPAjn61q7lJ3Sy5WuLYdJLugOlqp/xrpCU6XYyKHiuH1+oyCZiXKiqxPSWwSCGX1UYAZ1peqYKSZ/EaW0pK1wbBfJKDZhpA+XBXN9hwMaer+LoqwMwpSR9iU9OTuAEX8HchxugySUqb87UvGhzN8vDs/7R9UwvPd5g0w1sBLsxw=
-----END SIGNATURE-----
###
"
17/5/2025 12:22:27,Física,Octavo,Para poder salir en tiempo de la carrera,No,Laboratorio de Fisica Contemporánea I,Optativa de física,Optativa de física,,,,"Que se tome en cuenta los objetivos principales del curso y que se de lo básico de una forma buena y sin cargar de trabajo, simplemente aprovechando todas las horas que dura el curso","Sí, me gustaría y los tomaría",Que haya un calendario ya dado para saber qué cursos intersemestrales se impartirán y así poder planificar de una mejor manera la situación de cada quien,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""7b77b2071c9b9a9fd50addb5f2ca60f910f47d0164ceaeb2c8e9e35c80e6e1fa""}
-----BEGIN SIGNATURE-----
zNpp/6BX1omxrgzoT8zZgclUVxP1sQwasuGNdMPc+XIrjAU7hgRowXDTlQSvHA88xvEoY8Id4NX09IJF2oYmkrVQGr4Ai3Rhyp25ql+HY/tmzDn5nahqlXWtYpj47XVA9bJZEi7XJYYTnfDjNSMkriPputDWeQGDBTUYIZSqB8cQoFdjQSoArkmi5lib5WErIqEQZTy3OvmgrxHACeyB4J0L8qUEOL9GCM5K5Dd6rvzOiQ1Xley/dIipDbF02wGxFlKs5DF0aUCDsUd32+Wi66wE8CmefgDATcRHMM8PNF8BfPZq4OtDivcoMRc3+z6KJFlyXdQl21MuA4EiyKtmLAEzEniPXMt8tsehdNY0j+/A8KzI7qRsi5A8s3/ncpYC6QygznonJGUEP12Knj5Hb/lTCSgXnH1yr/td97IAi6qwVnXPwGJu/aZ+lElXUK6kn7LpvHa2cZRn9p+GdsCI6PwqHRfOcY7BsWoNZ5nUJyhFeNaVrlxAG6NHI0Uvzj6g1P+XouDUlH5cIs31zy2eTAv1ILqGDf1HuhvLBHojb2E+/H4aZrwj2QaZOrwXLIbcWBZrXos88SgLd3WshNxB26oI8VlmEH3fr810E8qmCvr3IvRtLi+/LyH01IMPP7rgYTgo4CWWBT0xHzIA4F+233KjEznux5i3YGJQmliXRyU=
-----END SIGNATURE-----
###
"
17/5/2025 12:23:59,Física Biomédica,6to semestre,Para poder avanzar en algunas materias ligeras para poder concentrarme el siguiente semestre en otras materias q requieran más tiempo. ,Sí,Fisica del cuerpo humano ,Inglés 6,Mecánica vectorial ,Tener que ir a la facultad en vacaciones): ,4,"Solo he tenido la experiencia de intersemestrales en inglés virtuales, fueron buenos cursos y me ayudo mucho a avanzar. ",,No me gustaría,Más tiempo de inscripción y mayor difusión de la convocatoria. ,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""e64fed34af45cb3027333f6424654974ce7f7df15fbfe825cd967e90590899d8""}
-----BEGIN SIGNATURE-----
c+ZjxKt2Q3ygnGz9sBM+FrxmPTGyy8hCk2YBe9a3V+6l4EcPy6S0aVK2k/nP1VQW4Ww0f5getiNy11urA2xoeUQYAlz8qFbNP/uUiIpjbrFomHonUAkQA9jPxndudYdP/3U9X9SEc9U+wc0Xf9jK6++vA48fQ3X6MtQG97K/lgZw9FT60JDh95iCjWgNFs0gzlJh19ZzREyrYwC068swnX8wvvDSXGI8KlrdWN8zB1/sVOqLm7+Gjg4pnN66EUOaOqgSaZVCcDiotheRCY/0Q6M21Pqruc2xbEZIVIffBu2RnhYTg+k6puU4B+TwuxKTHQnXuRvEvqCBsi0MJ1sB/03teCbqMYvvyBIicg89CiDXd+b4ZVVQP8CPNwT0iEN5FejUWoDJeJcAzmAXyW2A1cDq1H/TYniN/mWHRLdZf3HwJisGpUMFXmHWyAngv9WqmjJMUZgMALRkexaOihIqoW4lPy3J4gP8MXaFbzSn/olWZbqWZntFesOuDp8jiR3Kn6UCIL3zL/c0C7sX/J1uz+50giRcY+JuBKQULYfLiRtB49r3WZEHy9cwaBk83gQeVJDFciqDMCXuMqA4RZ7leJIIwP9oh1ArKBYzxxic0r/G8mZPuSUeB9PpGTShKjl9KauIMFOis1a/MGn2iBGiX2WIuALNuWlfy97tXZNCShg=
-----END SIGNATURE-----
###
"
17/5/2025 12:25:08,Física,8,Tener más creditos,Sí,Laboratorio de fisica contemporánea 1,Relatividad ,,"El horario, que se empate con mi trabajo. ",5,He tenido buenos profesores en anteriores intersemestrales,Tener pequeños recesos. ,"Sí, me gustaría y los tomaría",No,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""df05755435fd2afcb116a7ba344e099c8726321e068c848e48fcdb65534dfff1""}
-----BEGIN SIGNATURE-----
kuvilOUzEKVOC05QS7aaQK+bmZbVcu8DGenMm2RGJaGL79KwUSrkLuNdE81lexksDNlkdWbQLyL/r6aSrnOjkBj7fE+bcKQUcO3OJV5nQ3zEzqqt6rGMhkwBHJKV1umzE7mYboAK/z3iDGwuo74YwFVy1geQUycApeZPKa0+I2B+ph4xWDsP741xSe4t9QE7uvOhJG/Nh66/K06UI3RS5vlykmaPYaaXn9dY/5QhvnHq77YvYtnt7sjYY+zEMFcgJLQmR41jBLcMbbmiVJ4sDj5YXdv7cDcgBpgezX3SOA+Eo5c0029E9ltiajUV9ETShPTFD44d+EHFwMFHkAo65jfirdoL6/kYVxB5DHQv/vP31AgwMqIcuXkPMmAfPWT6OHM9okHKOVMG971nYTIA8Ss0Mbq22zlVJnD0DazJ8lieqFmy2Ayo8DhizqV7usNsAPJ4s9iGP7d6EpiLy1sXxtiAKOEybbdVEzhcLX6l3m+T0hWpFjg4vR7zg5ssdN0Q+zfo1iufcsD/7H1CnDQrpRpdiqgDiC73hFrC8JsXFd8wnOYTCPbQRfcOM2Alvs6zbiIfnVKOKtXvCY+FbONGU2/7kQAl4aiMxgzVNz6ViWz/R6U7xKaIoI/Pja41LDKTmk1FxOXotnEVd+1ZqvzDgAkyhoCgD8qbDzpf/aYfmy0=
-----END SIGNATURE-----
###
"
17/5/2025 12:25:17,Física,4,Para liberar créditos e inscribir cursos de alta exigencia en el siguiente semestre ,Sí,Laboratorio de óptica ,,,Calidad pedagógica ,3,La exigencia academia es muy baja,Completar el temario,"Sí, me gustaría y los tomaría",Que haya más difusión de los cursos impartidos,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""c4425c4a232df7373d94466afa9556dbd5e6aeb0f90e3f9627f6a8b8e8e32ffc""}
-----BEGIN SIGNATURE-----
sE8Qdd8vHECwmpeQoxzIuPvb71P5NyiLUkWGRuFJCOpphhSM0XWohsdkCxOOZufmvAErEqYPRDgydlfjh4+MEGQZjqVKb8gwbaFvyzeNtYv+G5VbDskXl2tXLb1/Cd6QwM9RwgSJce8N0n2/k5CzsmwNv1VFuqWOCy2X6Xs3HNc+Ulz0vUmZd0MmD7J+dPHHwC897a4/gWfF+/teyUgfyH2HvHp5oE3jdEDbkFbvxWor5ah1eUsMXKdrh+HX7JDHw6GXUwCqE83CNoW/VpYY6bhJupODk/lq1QqyhrRr+r63JurhakLMNI8mFI2QAXbVIPCy3D25cO2dpJpp/uJE2wRmKgRTmqpX+cNknaRV4YEamHY6wzG5lxFMC7f3+4bxlyKPW+tDxRhGO2eBXhh1Xrx7dDmpYqmyMsKGSSgInNrKLBe64dcditc0Y1PA706Kosr4MBpKa2bqC5I/vQQRzBrxY/2mo78DUpVSaK1wMzcekvUFigVnEIM8s69+4yztAGF8LLZE+w7DrdkSzwS6DZ/1Zchk9nq7J7cYk00K/e/tgraf+A6Je0SDtxFmQTn4nyu5cnxbBGPPdcr6qgZrLvPptc0Scaly8IJRefOiqkzA/n3P9mjjEHBqxlrAj4AZaO8AC/u5nFOkKg9oOYAZzXO9Zl1wXX32GBzLwGohPQg=
-----END SIGNATURE-----
###
"
17/5/2025 12:27:09,Física,Sexto ,Avanzar créditos,No,Laboratorio de electrónica ,Física computacional ,Dinámica de medios deformables,Falta de tiempo para abarcar los temas,,,"Se abran buenos cupos, variedad de materias, buenos profesores y se trate de abarcar todo el temario","Sí, me gustaría y los tomaría",,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""5f391f617d1f5800a7ec61053c8030ca370afcb55979c2929817f34a024acb81""}
-----BEGIN SIGNATURE-----
wMcQ+KYqfNb+htwwRq/4QOY6Bc9D4BYzt3DqqgUXZtL95Uwh+dclsC1yd+f7yFu9cd4inU2M0HHCjR5Q+fhCzze6ETfjTHzqNcz9r+DcGh6OGGqS+fKTXRt0hvm0hZeFX7ok9x9aOJo4DswG1UmLB3p0W7eqgTx3yzigV/quvOFDHQOo99wq8DUXPakQbxKRcXccJWjQg8dBN5lAwsG5ZEtAkhRP56IT1iums/xEamDjOltLgWkvIcB440L8a48XdqJB8Q3Vb+IXHaJ69Ynxgh1AKrsFATRpnKWixJ7rr7ZUOt0OP0AR02YWTAa4ByV8pCYEKZQK8Q5EOaqY/m/xQQJ60xzkBgCwUgqOXOeo9E0yjBujWXcW4MCV8nc2i5PiOILMvj3V59sabsskue2rDyUV79ZFD3LLZAHs65D5sYhS5NwALX/aFGO0ZUVp46Qdf6lIlYbR/bLJGJXcLhxqDJfSnw2Jpf+s2yE0bRds/3YemVybXoV48Gf1oG17sT9Qy84YPo9DDsHwG7PeOQ9HuQDmvOO51/a0AKkgGoHV6HB0jt8a6ZKzaVxin0o9QllEGlxhgkP9+/hrSQMe48rql33KONVTet53Lgr1ipJcs4uVVAYBjsJqBwNPWTg9qzMiCYSWtxP+B3jxdQtogmrWn5T9y4+V5sh9niC5iJhEjZs=
-----END SIGNATURE-----
###
"
17/5/2025 12:27:45,Física,8vo,,No,Laboratorio Física Contemporánea I,Laboratorio Física Contemporánea II,Física Computacional,,,,,,,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""289af8dad6ff3805baa2afbdb5be88b113b418b985b16226dc3d1bb74a4f7b38""}
-----BEGIN SIGNATURE-----
LD8t48TRKxvOiPlVI7kzFbm6P/Cqsstm/YQbQPbpKurCBA0DolD/ImF7KF9+DNCRAyO0RFtOBKKch1k8f0YF7uMKBPZy/joFy157cSubvpx59vcUlksQrPZqgCX2uHj656tQIFhQP1d1ebLAZdDcvPnNK7vqRrF26RD7yXVC/+LTnv5udC/ifGkS/cedyWifZYzoWW+hK1RNin2jpVHMuwoXHSvcETrW73E1sMz2s8eCxa2aBamHUnhSabEv/l59STahBhr/I3Rvc6wUVWxlpNgn3jwNwWVp0wG6e5WbO5O3Lxn42VjYd7ESw0LxbsJMp3jlHSUEjJylfrw49L82aPO4vza4j/qx3RVtTAOiOwqBjtm4A2YvnrjBF1znm9FLAK3XyN2Xi/qBH8iRCPteYBQLkrxmAj9BAKuNw31Vq5oaKvOT2uyFx+qvT9b+GOxBzIMKEq2bWoMHdHUR9LYfbsSE1fzuqgTczZUERzSr0r6p7U8EBFaa/87dpXA0qGnPQpmhs4OhbCb/OEyD3j5QPZOm70t69bEAR5uxaZITn0hSGouKKL9eehDKpxcNRTjkHc7gcL1HgSWYC/RADlX36uRyXd0HqNTMuDqfxukAH1aDt6Qa+I2BeO0D/2pkXNLNmo2oV6HQxwVuMD1XF2eoNFgQAFBzjVR8UX1cu/X74t4=
-----END SIGNATURE-----
###
"
17/5/2025 12:28:20,Física,Séptimo,Para poder meter más cursos en el próximo semestre ordinario,Sí,Laboratorio de física contemporánea ,Métodos Físicos Para El Diagnóstico Y Tratamiento En Medicina,Topología y Geometría Diferencial para Físicos,El cupo suele ser muy límitado y la poca oferta de cursos,4,"Sólo he cursado el de filosofía de la física en intersemestral y a mi parecer el profesor hizo un buen trabajo, cubriendo casi por completo el temario.",,"Sí, me gustaría y los tomaría","Que oferten más cursos y que se puedan inscribir desde el sistema normal de la facultad, al igual que los cursos ordinarios.","Considero de mayor importancia la oferta de los laboratorios de física contemporánea, pues estos no siempre se otorgan a quienes lo solicitan en un semestre ordinario y eso retrasa a los estudiantes. ","###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""50ec98d1679cdafb3ee0041c8067a96a732f25bba5d4523a11478237b68aa552""}
-----BEGIN SIGNATURE-----
XEvSVFEo3XbT+86k3ih9uttK9n9fP2AgiWvs9W5Nvpbpcd6ag57x0u5m+q27Fymg0rc0S88kf6Db6mrsLH9ffLDWC96XqkOe4nXrl0u9hKdTuFS1bTP7oZ/K89ptFVBtRi6aIyGgAHtwDO+t7bMoXi2V6wqdNDnb26sgMwiU8e2fQPpF5RmcrUtMJ23Kvku/IPj6UgAMvzV4f77eF7/JCIiHqsE56DVoRL8kbrnFaNtRFs4sZhXou38V9FRHG86h3QdU4OuIhEFN8LWK+9fs0RGkjUapY98UHEO5/Dx+wkyNGo06RH9OXiRhRZguzefAwSaQFPFZY+Ma9KsWugSBym9gB2twS5HEzF7eP2fa6qo1jA8hfm4+WX8MQ2+paHTcjzeibkMYm8HVeXHDlAhxXz/LZ87sWwdHAF+XRio/9WqNg8iJdGDFo+33zvfQk5znHL2v9NDNwO+q7vamu6LYMajsB1mYLQeF4H73ZpLvyKS9uCUCJB0AFxapZDguhb6WjxooAC8IclbqyaXlWhxEfsz9cwoUsfdCfTx2fnLqP2VdBCt+04nUj2jqReBWlfqDYGea3FhvyTd19lwbiuk4to+w58cp3i4UdLSh0BmPBcWWMaKn/s7MztUrw1opi8x0zrR8lyf0GPy9if9182I8jUs7nUm2peOP9nI2MeJyXUk=
-----END SIGNATURE-----
###
"
17/5/2025 12:28:52,Física,8vo,Tengo atrasado un laboratorio de física contemporánea y me gustaría recuperar el tiempo.,Sí,Laboratorio de Física Contemporánea I,Física Nuclear y Subnuclear ,Matemáticas Avanzadas de la Física II,Mucha carga en un sólo día.,5,Son del mismo nivel de un curso regular (lo que se espera).,Constancia y puntualidad por parte de los maestros.,"Sí, me gustaría y los tomaría",Se deberían anunciar por todos los medios disponibles.,,"###
{""roles"":{""estudiante"":20252},""id_votación"":""intersfisicaybiomes"",""id_certificado"":""f2bf32be9df38b8adec07b1797419a7411c6c2039d497c826788b83ec2de40b9""}
-----BEGIN SIGNATURE-----
YXVAbOuZHCedlJy5Z+qmeYZetuR6Vui9PT54NUwgsTfN0erq9gQ1glJYz3TRyaRfBAKRQ2K+xEly2CBB/XIscfG/KoXQwe2IYdfQ9ei9YOFYJrFfV821O903Uo0UochzrKYzalZIml9vgbr21do7g0/C/hO790bzyfoqwayaKFaWq8bARtl/6LqJprrymYPMHDSDnC06VivK275zvxJSUjU9r0z2OfGgOTk5y6cL0/SEV82F3/aebHcpEDQIMNm6yX4vCbdIRexrMIPqtiPdPzSkZocR1JBCC0YsSXtPksHKHDkc1brK0XIEZPsIY1sDhp7Jx7eGCiP2WMP6FoCmGufQDjKkKIfZ/hgYBe1q1Oa90LowFdkJcS3PC3zrJbKJenFCQSY8bfe859nt4uIzTXVYe/ra4/BHkpfVwhitLMSNErwJv14/6g9PDJZfPqhTa88ijpMBKab7EFozy19Ye5TejBm9wypmnkfN1/w6DPRySWav+uofIjDBpVffG44YveB33HiacR1O36tc0pYj/nFP2nMG2/+r/s2LZzZVvJGHJXmqPICrDHfVOT9WuwWcyfKrOSyCK78Qrl4y5L5z7jaw7dZa2Tz6hhlfPyNltbzfukVHGtXw+h32lw+h74yKFK6T0EeyQ/NnK8YgbKt3RQi2FP3qdfTmF+bsI13HEwg=
-----END SIGNATURE-----
###
"
